BatchID,	FailID,	InspectionMcID,	Event Name,	Event Time,	Event Reason,	Non Utilised Time
None,None,None,Start,17-Jan-2019 16:18:37,Machine Start,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Ready,17-Jan-2019 16:18:38,Inspection Ready,0
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Select,17-Jan-2019 16:18:49,Part Select,11
Batch_1_TVAS_STM_1_TT-1478_3630566932,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,BatchStart,17-Jan-2019 16:18:52,Batch Start,3
Batch_1_TVAS_STM_1_TT-1478_3630566932,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,17-Jan-2019 16:18:55,Not Listed: Fail,0
Batch_1_TVAS_STM_1_TT-1478_3630566932,Batch_1_TVAS_STM_1_TT-1478_3630566932_3630566935,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Run,17-Jan-2019 16:18:59,Not Listed: Fail,4
Batch_1_TVAS_STM_1_TT-1478_3630566932,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,17-Jan-2019 16:19:03,Not Listed: Fail,0
Batch_1_TVAS_STM_1_TT-1478_3630566932,Batch_1_TVAS_STM_1_TT-1478_3630566932_3630566943,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Run,17-Jan-2019 16:19:05,Not Listed: Fail,2
Batch_1_TVAS_STM_1_TT-1478_3630566932,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,FailPause,17-Jan-2019 16:19:10,Not Listed: Fail,0
Batch_1_TVAS_STM_1_TT-1478_3630566932,Batch_1_TVAS_STM_1_TT-1478_3630566932_3630566950,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Stop,17-Jan-2019 16:19:12,Not Listed: Stop,2
None,None,GTRON_V1.3_TT_TT-VASAI-MC5_26-09-2018,Exit,17-Jan-2019 16:20:58,Software Exit,106
